,Compound,Date,Negative,Nuetral,Postitive,Target,Tweet Ago
210,0.4939,Mon Mar 26 22:40:57 +0000 2018,0.0,0.789,0.211,@CNN,10
211,0.0,Mon Mar 26 22:32:24 +0000 2018,0.0,1.0,0.0,@CNN,11
212,0.5994,Mon Mar 26 22:31:16 +0000 2018,0.0,0.811,0.189,@CNN,12
213,-0.296,Mon Mar 26 22:30:12 +0000 2018,0.155,0.845,0.0,@CNN,13
214,-0.2617,Mon Mar 26 22:22:31 +0000 2018,0.102,0.898,0.0,@CNN,14
215,0.0,Mon Mar 26 22:15:06 +0000 2018,0.0,1.0,0.0,@CNN,15
216,-0.3612,Mon Mar 26 22:14:02 +0000 2018,0.135,0.865,0.0,@CNN,16
217,-0.4215,Mon Mar 26 22:11:05 +0000 2018,0.203,0.797,0.0,@CNN,17
218,-0.2263,Mon Mar 26 22:05:42 +0000 2018,0.192,0.808,0.0,@CNN,18
219,-0.3612,Mon Mar 26 22:04:14 +0000 2018,0.116,0.884,0.0,@CNN,19
220,-0.8658,Mon Mar 26 23:45:04 +0000 2018,0.447,0.553,0.0,@CNN,20
221,-0.5859,Mon Mar 26 23:38:28 +0000 2018,0.202,0.798,0.0,@CNN,21
222,0.0,Mon Mar 26 23:30:14 +0000 2018,0.0,1.0,0.0,@CNN,22
223,0.0,Mon Mar 26 23:15:03 +0000 2018,0.0,1.0,0.0,@CNN,23
224,0.0,Mon Mar 26 23:10:09 +0000 2018,0.0,1.0,0.0,@CNN,24
225,0.2263,Mon Mar 26 23:05:01 +0000 2018,0.0,0.888,0.112,@CNN,25
226,-0.9062,Mon Mar 26 23:00:28 +0000 2018,0.617,0.383,0.0,@CNN,26
227,0.0,Mon Mar 26 22:55:04 +0000 2018,0.0,1.0,0.0,@CNN,27
228,0.0,Mon Mar 26 22:45:07 +0000 2018,0.0,1.0,0.0,@CNN,28
229,0.4767,Mon Mar 26 22:41:27 +0000 2018,0.0,0.866,0.134,@CNN,29
230,0.4939,Mon Mar 26 22:40:57 +0000 2018,0.0,0.789,0.211,@CNN,30
